pp3year,level,schools_province,totalmale,totalfemale,totalstd
"2566","M.6",Krabi,340,633,973
"2566","M.6",Bangkok,4094,6491,10585
"2566","M.6",Kanchanaburi,725,1198,1923
"2566","M.6",Kalasin,751,1359,2110
"2566","M.6",Kamphaeng Phet,825,1240,2065
"2566","M.6",Khon Kaen,680,1024,1704
"2566","M.6",Chanthaburi,750,885,1635
"2566","M.6",Chachoengsao,612,763,1375
"2566","M.6",Chonburi,2102,3827,5929
"2566","M.6",Chai Nat,353,617,970
"2566","M.6",Chaiyaphum,446,579,1025
"2566","M.6",Chumphon,783,1287,2070
"2566","M.6",Trang,1079,1786,2865
"2566","M.6",Trat,296,536,832
"2566","M.6",Tak,675,1266,1941
"2566","M.6",Nakhon Nayok,95,144,239
"2566","M.6",Nakhon Pathom,1170,1280,2450
"2566","M.6",Nakhon Phanom,869,1497,2366
"2566","M.6",Nakhon Ratchasima,1073,2522,3595
"2566","M.6",Nakhon Si Thammarat,1849,3259,5108
"2566","M.6",Nakhon Sawan,644,1024,1668
"2566","M.6",Nonthaburi,803,1346,2149
"2566","M.6",Narathiwat,468,823,1291
"2566","M.6",Nan,475,661,1136
"2566","M.6",Bueng Kan,378,745,1123
"2566","M.6",Buriram,1330,2425,3755
"2566","M.6",Pathum Thani,1615,2085,3700
"2566","M.6",Prachuap Khiri Khan,446,798,1244
"2566","M.6",Prachinburi,669,1214,1883
"2566","M.6",Pattani,187,368,555
"2566","M.6",Phra Nakhon Si Ayutthaya,893,1416,2309
"2566","M.6",Phayao,236,373,609
"2566","M.6",Phang Nga,131,195,326
"2566","M.6",Phatthalung,391,594,985
"2566","M.6",Phichit,608,986,1594
"2566","M.6",Phitsanulok,846,1065,1911
"2566","M.6",Phuket,184,587,771
"2566","M.6",Maha Sarakham,594,964,1558
"2566","M.6",Mukdahan,235,400,635
"2566","M.6",Yala,29,73,102
"2566","M.6",Yasothon,288,511,799
"2566","M.6",Ranong,325,576,901
"2566","M.6",Rayong,1210,2124,3334
"2566","M.6",Ratchaburi,964,1554,2518
"2566","M.6",Roi Et,613,982,1595
"2566","M.6",Lopburi,413,714,1127
"2566","M.6",Lampang,426,688,1114
"2566","M.6",Lamphun,230,354,584
"2566","M.6",Si Sa Ket,657,1368,2025
"2566","M.6",Sakon Nakhon,836,1867,2703
"2566","M.6",Songkhla,893,1485,2378
"2566","M.6",Satun,350,807,1157
"2566","M.6",Samut Prakan,788,1195,1983
"2566","M.6",Samut Songkhram,101,140,241
"2566","M.6",Samut Sakhon,368,473,841
"2566","M.6",Saraburi,674,1089,1763
"2566","M.6",Sa Kaeo,412,741,1153
"2566","M.6",Sing Buri,55,78,133
"2566","M.6",Suphan Buri,1106,1848,2954
"2566","M.6",Surat Thani,1487,2474,3961
"2566","M.6",Surin,805,2067,2872
"2566","M.6",Sukhothai,799,1008,1807
"2566","M.6",Nong Khai,488,807,1295
"2566","M.6",Nong Bua Lamphu,74,95,169
"2566","M.6",Amnat Charoen,347,586,933
"2566","M.6",Udon Thani,947,2019,2966
"2566","M.6",Uttaradit,318,481,799
"2566","M.6",Uthai Thani,265,388,653
"2566","M.6",Ubon Ratchathani,796,1570,2366
"2566","M.6",Ang Thong,430,730,1160
"2566","M.6",Chiang Rai,1045,1687,2732
"2566","M.6",Chiang Mai,852,1411,2263
"2566","M.6",Phetchaburi,350,505,855
"2566","M.6",Phetchabun,394,709,1103
"2566","M.6",Loei,529,985,1514
"2566","M.6",Phrae,369,878,1247
"2566","M.6",Mae Hong Son,336,560,896